id,nama_produk,harga_sebelum_diskon,diskon,harga_setelah_diskon,jumlah_terjual_ulasan,gratis_ongkir
64,Heim Studio NAKA Meja TV,2709000,0.38,1659000, 20 Terjual,se-Jabodetabek
65,Cubic Cubic Rak TV Gantung - LIVINA HTV 120 X,899000,0.57,385000, 41 Terjual,se-Jawa
66,Livien Meja Makan Set (1 Meja + 4 Kursi),5163000,0.22,3990000, 78 Terjual,se-Jawa
67,Cubic Cubic Meja Kerja Rumah - Meja Komputer Industrial Minimalis - YAGI MK 101 J,1199000,0.47,628000, 118 Terjual,se-Jawa
68,Heim Studio MASHI Meja Makan Extendable Walnut,2472000,0.34,1609000, 55 Terjual,se-Jabodetabek
69,Livien Meja Belajar Minimalis,1750000,0.66,590000, 131 Terjual,se-Jawa
70,Heim Studio KIYOTA Meja TV,1803000,0.34,1179000, 9 Ulasan,se-Jabodetabek
71,Heim Studio KANOU Meja Makan Extendable,5400000,0.48,2789000, 42 Terjual,se-Jabodetabek
72,Heim Studio TATSURO Meja TV,2085000,0.43,1179000, 3 Ulasan,se-Jabodetabek
73,Heim Studio AION Panel Sekat Meja Kerja Kantor 160x80 cm,1980000,0.48,1029000,Belum Terjual atau Diulas,se-Jabodetabek
74,PIRA METROPOLIS ARNOR TV120 Kabinet TV SONOMA OAK - WHITE,746000,0.12,650000, 382 Terjual,se-Jabodetabek
75,Heim Studio AION Meja Kerja Kantor Penyambung Berhadapan - 120x120x75 cm,6599000,0.43,3699000,Belum Terjual atau Diulas,se-Jabodetabek
76,Heim Studio AION Panel Sekat Meja Kerja Kantor 120x60 cm,1800000,0.48,929000,Belum Terjual atau Diulas,se-Jabodetabek
77,Heim Studio TATSURO Meja Tamu,1284000,0.43,729000, 20 Terjual,se-Jabodetabek
78,Heim Studio AION Sekat Pembatas Meja Kerja Kantor 120x60 cm,1199000,0.41,699000,Belum Terjual atau Diulas,se-Jabodetabek
79,Heim Studio AION Meja Kerja Kantor Penyambung Sejajar - 120x60x75 cm,5217000,0.48,2689000,Belum Terjual atau Diulas,se-Jabodetabek
80,Olympic Folding Desk/ Meja Lipat Multifungsi / FD-01,962000,0.47,509000, 85 Terjual,se-Jawa
81,Heim Studio AION Meja Kerja Kantor Sejajar 1 Orang - 120x60x75 cm,6837000,0.48,3519000,Belum Terjual atau Diulas,se-Jabodetabek
82,Livien Meja Makan Island dark brown Story D60,2615000,0,2615000, 65 Terjual,se-Jawa
83,Heim Studio KARU Meja Belajar Swivel dengan Rak Penyimpanan,2418000,0.34,1579000, 9 Ulasan,se-Jabodetabek
84,Livien Harmony Dining Set (Meja + 2 Kursi + 1 Bench),6898000,0.37,4290000, 43 Terjual,se-Jawa
85,Heim Studio KANOU Meja Rias,2670000,0.28,1899000, 28 Terjual,se-Jabodetabek
86,Heim Studio EIKO Meja Makan Walnut,2964000,0.37,1839000, 7 Ulasan,se-Jabodetabek
87,Officescale Configuration WS 2 Seater  Main Desk  1200x1200x750mm,4529000,0.19,3624000, 5 Ulasan,se-Jabodetabek
88,Officescale Meja Kerja Kantor | Meja Staff + Laci 3 susun 140x60x75cm - Ash Grey,4049000,0.19,3240000, 1 Ulasan,se-Jabodetabek
89,Livien Meja Belajar dan Kantor Lucas,1750000,0.66,590000, 85 Terjual,se-Jawa
90,Livien Nora Dining Set 750 White (Meja + 2 Kursi),3590000,0.3,2499000, 34 Terjual,se-Jawa
91,Cubic Cubic Rak TV minimalis - Meja TV Minimalis - LIVINA RTV 120,949000,0.51,457000, 3 Ulasan,se-Jawa
92,PIRA METROPOLIS TACO Meja Kerja Dengan Penyimpanan Kayu Terang Sonoma Oak,936000,0.15,795000, 297 Terjual,se-Jabodetabek
93,Olympic Side Table / Meja Tamu / Meja Sofa / ST Rubik,700000,0.56,305000, 45 Terjual,se-Jawa
94,Livien Harmony Dining Set (Meja + 4 Kursi),7986000,0.36,5100000, 34 Terjual,se-Jawa
95,Pro Design Flava FLVDK 100 Meja Kerja - Meja Kantor - Brown Walnut,1312000,0.34,859000, 70 Terjual,se-Jawa
96,"Officescale Meja Kerja Kantor Peyambung Berhadapan 8 Orang + Panel Sekat - Ash Grey, 480x120x75 cm",16579000,0,16579000, 5 Ulasan,se-Jabodetabek
97,Heim Studio YORI Meja Makan Marble,6471000,0.38,3999000, 9 Ulasan,se-Jabodetabek
98,Olympic Meja Tulis Rubik MT 80,625000,0.51,301000, 36 Terjual,se-Jawa
99,Pro Design Mocca L Meja TV - Rak TV - Rak TV Dinding - Brown Walnut - White Glossy,3199000,0.35,2049000, 71 Terjual,se-Jawa
100,Livien Harmony Dining Set (Meja + 2 Kursi + 1 Kursi Panjang),7353000,0.37,4626000, 1 Ulasan,se-Jawa
101,Officescale WS 2 Seater Extention Desk 1200x1200x750mm,3469000,0.19,2776000, 1 Ulasan,se-Jabodetabek
102,Cubic Cubic Meja Lipat Dinding Minimalis - Folding Table - YAGI FT 61,1999000,0.6,796000, 38 Terjual,se-Jawa
103,Livien Meja Makan Bentuk D 160 (Meja Saja),3790000,0,3790000,Belum Terjual atau Diulas,se-Jawa
104,Cubic Cubic Meja Gantung - Hanging Table - Rak Gantung - Hanging Shelf - YAGI HT 120+HS 120,1599000,0.56,700000, 34 Terjual,se-Jawa
105,Tenzo Living MATTEO Meja Tamu Hitam,13400000,0.25,9999000,Belum Terjual atau Diulas,se-Jabodetabek
106,Tenzo Living OLIVER Meja Tamu,17400000,0.25,12999000,Belum Terjual atau Diulas,se-Jabodetabek
107,Tenzo Living HEIN Meja TV,17400000,0.25,12999000, 1 Ulasan,se-Jabodetabek
108,Tenzo Living XAVIER Meja Tamu,10700000,0.25,7999000,Belum Terjual atau Diulas,se-Jabodetabek
109,Tenzo Living MATTEO Meja Tamu Putih,12700000,0.25,9499000,Belum Terjual atau Diulas,se-Jabodetabek
110,Tenzo Living FOREST Meja TV,14700000,0.25,10999000,Belum Terjual atau Diulas,se-Jabodetabek
111,Tenzo Living TEAK Meja Makan,16700000,0.25,12499000,Belum Terjual atau Diulas,se-Jabodetabek
112,Tenzo Living TREVOR Meja TV,18700000,0.25,13999000,Belum Terjual atau Diulas,se-Jabodetabek
113,Tenzo Living LUCIA Meja Makan,26700000,0.25,19999000,Belum Terjual atau Diulas,se-Jabodetabek
114,Tenzo Living HEIN Meja Tamu,9340000,0.25,6999000,Belum Terjual atau Diulas,se-Jabodetabek
115,Tenzo Living ALANO Meja Konsol,7070000,0.25,5299000,Belum Terjual atau Diulas,se-Jabodetabek
116,Tenzo Living ALANO Meja Tamu,8670000,0.25,6499000,Belum Terjual atau Diulas,se-Jabodetabek
117,Tenzo Living VERLIN Meja Tamu,10000000,0.25,7499000,Belum Terjual atau Diulas,se-Jabodetabek
118,Heim Studio SOKA Meja Makan,4053000,0.42,2349000, 5 Ulasan,se-Jabodetabek
119,Cubic Cubic Meja Komputer Rumah - Meja Kerja Lesehan Minimalis - YAGI LT 81,430000,0.5,215000, 34 Terjual,se-Jawa
120,Cubic Cubic Rak TV minimalis - Meja TV Minimalis - LIVINA RTV 121 White,1397000,0.57,592000, 1 Ulasan,se-Jawa
